idema	name	province	latitude	longitude	altitude
C446G	San Cristóbal De La Laguna,Llano De Los Loros	Sta. Cruz De Tenerife	28.52638888888889	-16.280277777777776	868
C447A	Tenerife Norte Aeropuerto	Santa Cruz De Tenerife	28.4775	-16.329444444444444	632
C448C	Citfagro_92_Santacruz	Sta. Cruz De Tenerife	28.4625	-16.273333333333333	136
C449C	Sta.Cruz De Tenerife	Santa Cruz De Tenerife	28.46333333333333	-16.255277777777778	36
C449F	Anaga 	Sta. Cruz De Tenerife	28.508055555555554	-16.195555555555554	19
C449Q	Citfagro_97_Taganana	Sta. Cruz De Tenerife	28.560000000000002	-16.228055555555553	305
C453I	Citfagro_88_Gaitero	Sta. Cruz De Tenerife	28.39472222222222	-16.433333333333334	1744
C455M	Citfagro_87_Aguamansa	Sta. Cruz De Tenerife	28.361666666666668	-16.496944444444445	1065
C456E	Citfagro_10_Ravelo	Sta. Cruz De Tenerife	28.453888888888887	-16.40861111111111	922
C456P	Citfagro_70_Benijo	Sta. Cruz De Tenerife	28.36138888888889	-16.546666666666667	906
C456R	Citfagro_69_Suerte	Sta. Cruz De Tenerife	28.372777777777777	-16.541944444444447	551
C457E	Citfagro_67_Matanza	Sta. Cruz De Tenerife	28.449444444444445	-16.438055555555557	650
C457I	La Victoria De Acentejo	Sta. Cruz De Tenerife	28.434444444444445	-16.454444444444444	567
C458A	Tacoronte	Sta. Cruz De Tenerife	28.49638888888889	-16.42	310
C458U	Citfagro_71_Palob	Sta. Cruz De Tenerife	28.36861111111111	-16.578055555555554	595
C459Z	Puerto De La Cruz	Sta. Cruz De Tenerife	28.418055555555558	-16.548333333333336	25
C466O	Citfagro_91_Cubo	Sta. Cruz De Tenerife	28.339166666666664	-16.794444444444448	878
C467I	Citfagro_73_Redon	Sta. Cruz De Tenerife	28.353333333333335	-16.708333333333332	525
C468I	Citfagro_98_Eldrago	Sta. Cruz De Tenerife	28.366944444444446	-16.72222222222222	218
C468O	Citfagro_62_Trigo	Sta. Cruz De Tenerife	28.356944444444444	-16.80138888888889	450
C468X	San Juan De La Rambla	Sta. Cruz De Tenerife	28.373055555555556	-16.625833333333333	667
C611E	Vega De San Mateo	Las Palmas	27.976666666666667	-15.58388888888889	1702
C612F	Tejeda, Cruz De Tejeda	Las Palmas	28.006944444444443	-15.59888888888889	1514
C614H	Tejeda	Las Palmas	27.995	-15.615833333333333	1060
C619I	La Aldea De San Nicolás	Las Palmas	28.000833333333333	-15.81388888888889	10
C619X	Agaete	Las Palmas	28.101111111111113	-15.712777777777777	5
C619Y	La Aldea De San Nicolás	Las Palmas	28.00111111111111	-15.807500000000001	13
C623I	San Bartolome Tirajana, Cuevas Del Pinar	Las Palmas	27.92666666666667	-15.599722222222223	1220
C625O	San Bartolome Tirajana, Lomo Pedro Alfonso	Las Palmas	27.856944444444444	-15.645	806
C628B	La Aldea De San Nicolás, Tasarte	Las Palmas	27.90888888888889	-15.770000000000001	318
C629Q	Mogán, Puerto Rico	Las Palmas	27.779999999999998	-15.71111111111111	10
C629X	Mogán, Puerto	Las Palmas	27.81638888888889	-15.764166666666666	10
C635B	San Bartolome Tirajana, Las Tirajanas	Las Palmas	27.92	-15.574166666666667	960
C639M	Maspalomas, C. Insular Turismo 	Las Palmas	27.758055555555554	-15.575555555555555	45
C639U	San Bartolome Tirajana, El Matorral	Las Palmas	27.8125	-15.453055555555554	41
C648C	Agüimes	Las Palmas	27.9025	-15.453888888888889	306
C648N	Telde, Centro Forestal Doramas	Las Palmas	27.9875	-15.457777777777777	344
C649I	Gran Canaria Aeropuerto	Las Palmas	27.91777777777778	-15.395277777777777	24
C649R	Telde, Melenara	Las Palmas	27.986666666666668	-15.377777777777778	9
C656V	Teror	Las Palmas	28.075277777777778	-15.547222222222222	683
C658L	Las Palmas De G.C. (Tafira Cmt)	Las Palmas	28.075	-15.450833333333332	269
C658X	Las Palmas De Gran Canaria, Tafira	Las Palmas	28.078055555555554	-15.453333333333333	269
C659H	Las Palmas De Gran Canaria, San Cristobal	Las Palmas	28.08972222222222	-15.416111111111112	55
C659M	Las Palmas De Gran Canaria, Pl. De La Feria	Las Palmas	28.113055555555558	-15.421388888888888	15
C665T	Valleseco	Las Palmas	28.065555555555555	-15.565555555555557	900
C668V	Agaete - Suerte Alta	Las Palmas	28.094444444444445	-15.674999999999999	352
C669B	Arucas	Las Palmas	28.141666666666666	-15.506666666666666	86
C689E	Maspalomas	Las Palmas	27.735833333333336	-15.595833333333333	6
C839I	Teguise	Las Palmas	29.231944444444444	-13.501944444444444	10
C839X	La Graciosa	Las Palmas	29.22972222222222	-13.510277777777778	19
C916Q	El Pinar, Depósito	Sta. Cruz De Tenerife	27.718888888888888	-17.978055555555553	948
C917E	El Pinar, La Dehesa	Sta. Cruz De Tenerife	27.725277777777777	-18.115000000000002	713
C919K	Tacoron-Lapillas-Tortuga	Sta. Cruz De Tenerife	27.665277777777778	-18.01861111111111	98
C925F	San Andrés, Valverde	Sta. Cruz De Tenerife	27.76888888888889	-17.960277777777776	1070
C928I	Valverde	Sta. Cruz De Tenerife	27.810833333333335	-17.919444444444444	670
C929I	Hierro Aeropuerto	Santa Cruz De Tenerife	27.81888888888889	-17.88888888888889	32
C939T	Frontera, Sabinosa	Sta. Cruz De Tenerife	27.75638888888889	-18.1075	20
0002I	Vandellòs  	Tarragona	40.95805555555556	0.8713888888888889	32
0009X	Alforja	Tarragona	41.21388888888889	0.9633333333333333	406
0016A	Reus Aeropuerto	Tarragona	41.14972222222222	1.1788888888888889	71
0016B	Reus (Centre Lectura)	Tarragona	41.15416666666667	1.108888888888889	118
0034X	Valls	Tarragona	41.293055555555554	1.2608333333333333	233
0042Y	Tarragona 	Tarragona	41.12388888888889	1.2491666666666668	55
0061X	Pontons	Barcelona	41.41694444444444	1.5191666666666666	632
0066X	Vilafranca Del Penedès	Barcelona	41.33027777777778	1.6769444444444443	177
0073X	Sitges	Barcelona	41.24388888888889	1.8525	58
0076	Barcelona Aeropuerto	Barcelona	41.29277777777778	2.0700000000000003	4
0092X	Berga	Barcelona	42.10138888888889	1.8575000000000002	682
0106X	Balsareny	Barcelona	41.86638888888889	1.8725	361
0114X	Prats De Lluçanès	Barcelona	42.00694444444444	2.0266666666666664	700
0120X	Moià	Barcelona	41.81333333333333	2.095277777777778	742
0149D	Manresa (La Culla)	Barcelona	41.72	1.840277777777778	291
0149X	Manresa	Barcelona	41.72	1.840277777777778	291
0158O	Montserrat	Barcelona	41.59444444444445	1.8391666666666668	738
0158X	Monistrol De Montserrat	Barcelona	41.59444444444445	1.8391666666666668	738
0171X	Igualada	Barcelona	41.57888888888889	1.6177777777777778	313
0194D	Corbera, Pic D'Agulles	Barcelona	41.408055555555556	1.885	647
0200E	Barcelona, Fabra	Barcelona	41.41833333333333	2.1241666666666665	408
0201D	Barcelona, Port Olímpic	Barcelona	41.39055555555556	2.2	26
0201X	Barcelona, Drassanes	Barcelona	41.375	2.1738888888888885	11
0222X	Caldes De Montbui	Barcelona	41.61277777777778	2.168333333333333	175
0229I	Sabadell Aeropuerto	Barcelona	41.52361111111111	2.1030555555555557	146
0244X	Vilassar De Dalt	Barcelona	41.505	2.3625000000000003	56
0252D	Arenys De Mar	Barcelona	41.58722222222222	2.54	74
0255B	Santa Susanna	Barcelona	41.65083333333333	2.6969444444444446	40
0260X	Fogars De Montclús	Barcelona	41.76	2.431111111111111	936
0281Y	Blanes	Girona	41.676944444444445	2.8049999999999997	45
0284X	Castell, Platja D'Aro 	Girona	41.80777777777777	3.0308333333333333	14
0294B	La Bisbal (D'Emporda 3)	Girona	41.967777777777776	3.042222222222222	51
0312X	Sant Pau De Segúries	Girona	42.25833333333333	2.3644444444444446	851
0320I	Planoles	Girona	42.316944444444445	2.102777777777778	1151
0321	Campdevanol	Girona	42.22277777777778	2.167222222222222	731
0324A	Ripoll	Girona	42.19138888888889	2.196111111111111	675
0341	Tona (Escola)	Barcelona	41.84666666666667	2.2266666666666666	611
0341X	Tona	Barcelona	41.846944444444446	2.2225	607
0349	Sant Julià  De Vilatorta	Barcelona	41.92611111111111	2.3175	578
0360X	Les Planes D'Hostoles	Girona	42.05277777777778	2.551111111111111	337
0363X	Sant Hilari	Girona	41.880833333333335	2.513333333333333	810
0367	Girona Aeropuerto	Girona	41.91166666666666	2.763333333333333	143
0370B	Girona, Antic Institut	Girona	41.980000000000004	2.8252777777777776	95
0370E	Girona	Girona	41.97222222222222	2.819444444444444	76
0372C	Porqueres	Girona	42.10444444444445	2.763611111111111	157
0385X	L'Estartit	Girona	42.053888888888885	3.2013888888888893	1
0394X	La Vall De Bianya	Girona	42.21055555555556	2.4719444444444445	350
0411X	Castelló D'Empúries	Girona	42.224722222222226	3.093055555555556	2
0413A	Maçanet De Cabrenys	Girona	42.386944444444445	2.7555555555555555	355
0421E	Espolla 'Les Alberes'	Girona	42.39	3.006111111111111	100
0421X	Espolla	Girona	42.39	3.006111111111111	100
0429X	Figueres	Girona	42.259166666666665	2.960277777777778	45
0433D	Cabo De Creus	Girona	42.31916666666667	3.3155555555555556	75
1002Y	Baztan, Irurita 	Navarra	43.13583333333333	-1.5430555555555554	183
1010X	Bera	Navarra	43.27861111111111	-1.6758333333333333	54
1012P	Irun	Gipuzkoa	43.32638888888889	-1.7966666666666666	120
1014	Hondarribia, Malkarroa	Gipuzkoa	43.356944444444444	-1.7922222222222222	4
1014A	Donostia / San Sebastián Aeropuerto	Gipuzkoa	43.356944444444444	-1.7922222222222222	4
1021X	Errenteria, Añarbe	Gipuzkoa	43.21388888888889	-1.8788888888888888	165
1021Y	Articutza (Automatica)	Navarra	43.21222222222222	-1.7977777777777777	305
1024E	Donostia / San Sebastián, Igeldo	Gipuzkoa	43.30638888888888	-2.041111111111111	250
1025A	Segura	Gipuzkoa	43.01555555555556	-2.256666666666667	255
1025X	Beasain, Arriaran	Gipuzkoa	43.05472222222222	-2.2319444444444447	255
1026X	Ordizia	Gipuzkoa	43.058055555555555	-2.1841666666666666	290
1033X	Areso	Navarra	43.085	-1.9508333333333332	520
1037X	Legazpi	Gipuzkoa	43.05166666666666	-2.3372222222222225	460
1037Y	Zumarraga	Gipuzkoa	43.080000000000005	-2.3175	420
1038X	Azpeitia	Gipuzkoa	43.1725	-2.2672222222222222	180
1041A	Zumaia	Gipuzkoa	43.30222222222222	-2.2511111111111113	28
1044X	Aramaio, Etxaguen	Araba/Alava	43.05777777777777	-2.5897222222222225	617
1048X	Aretxabaleta	Gipuzkoa	43.025	-2.4658333333333333	308
1049N	Elgeta	Gipuzkoa	43.138333333333335	-2.4958333333333336	470
1050J	Elgoibar	Gipuzkoa	43.20916666666667	-2.413333333333333	119
1052A	Mutriku	Gipuzkoa	43.31722222222223	-2.397222222222222	150
1055B	Lekeitio	Bizkaia	43.37694444444445	-2.5102777777777776	12
1056K	Forua	Bizkaia	43.3425	-2.6711111111111108	45
1057B	Matxitxako	Bizkaia	43.45388888888889	-2.7527777777777778	93
1059X	Punta Galea	Bizkaia	43.375	-3.0216666666666665	81
1060X	Amurrio	Araba/Alava	43.05027777777777	-3.0055555555555555	240
1064L	Orozko, Ibarra	Bizkaia	43.09638888888889	-2.8602777777777777	270
1069Y	Abadiño, Urkiola	Bizkaia	43.09916666666667	-2.6441666666666666	747
1074C	Amorebieta-Etxano	Bizkaia	43.20277777777778	-2.7061111111111114	100
1078C	Balmaseda	Bizkaia	43.18055555555555	-3.2097222222222226	210
1078I	Güeñes	Bizkaia	43.20333333333333	-3.104722222222222	208
1082	Bilbao Aeropuerto	Bizkaia	43.29805555555556	-2.906388888888889	42
1083B	Sopuerta	Bizkaia	43.27972222222222	-3.168611111111111	177
1083L	Castro Urdiales	Cantabria	43.39472222222222	-3.233888888888889	45
1089U	Ramales De La Victoria	Cantabria	43.255833333333335	-3.4708333333333337	80
1096X	Barcena De Cicero, Treto	Cantabria	43.39666666666667	-3.4697222222222224	10
1103X	San Roque De Riomiera	Cantabria	43.2275	-3.721111111111111	849
1109	Santander Aeropuerto	Cantabria	43.42388888888889	-3.8255555555555554	3
1109X	Santander Aeropuerto	Cantabria	43.42861111111111	-3.8313888888888887	3
1110	Santander, Ciudad	Cantabria	43.465	-3.8188888888888886	64
1111	Santander	Cantabria	43.49111111111111	-3.8005555555555555	52
1111X	Santander	Cantabria	43.49111111111111	-3.8005555555555555	51
1124E	Villacarriedo	Cantabria	43.245555555555555	-3.8494444444444444	196
1135C	Los Tojos, Bárcena Mayor	Cantabria	43.14694444444444	-4.214166666666667	460
1152C	San Felices De Buelna	Cantabria	43.27194444444444	-4.048611111111111	105
1154H	Torrelavega, Sierrapando	Cantabria	43.35861111111111	-4.0275	110
1159	San Vicente De La Barquera	Cantabria	43.39333333333333	-4.392222222222222	38
1167B	Camaleño, Fuente De	Cantabria	43.14388888888889	-4.812777777777778	1100
1167G	Mirador Del Cable, Parque Nacional Picos De Europa	Cantabria	43.155	-4.803055555555555	1910
1167J	Coriscao, Parque Nacional Picos De Europa	Cantabria	43.08916666666667	-4.773888888888889	1722
1174I	Cillórigo De Liébana, Tama	Cantabria	43.18277777777777	-4.601666666666667	250
1176A	Tresviso	Cantabria	43.255833333333335	-4.668333333333334	940
1178R	Sotres, Parque Nacional Picos De Europa	Asturias	43.237500000000004	-4.736666666666666	1236
1178Y	Posada De Valdeón, Soto 	Leon	43.14527777777778	-4.931666666666667	953
1179B	Cabrales	Asturias	43.31111111111111	-4.852777777777778	458
1183X	Llanes	Asturias	43.42027777777778	-4.748055555555555	10
1186P	Amieva, Panizales	Asturias	43.266666666666666	-5.119166666666667	370
1199X	Piloña, Bargaéu	Asturias	43.37777777777778	-5.396666666666667	280
1203D	Colunga	Asturias	43.492222222222225	-5.247222222222223	30
1207U	Gijón, Campus	Asturias	43.52305555555555	-5.621111111111111	26
1208	Gijón	Asturias	43.538888888888884	-5.637499999999999	3
1208A	Gijón. La Merced	Asturias	43.541666666666664	-5.661944444444445	22
1208H	Gijón, Puerto	Asturias	43.55972222222222	-5.700833333333334	5
1210X	Cabo Peñas	Asturias	43.655833333333334	-5.8486111111111105	100
1212E	Asturias Aeropuerto	Asturias	43.566944444444445	-6.0441666666666665	127
1221D	Pajares-Valgrande	Asturias	42.978611111111114	-5.776388888888889	1480
1223P	Lena, Ronzón	Asturias	43.132777777777775	-5.822777777777778	370
1226X	Aller, Felechosa	Asturias	43.09527777777778	-5.476944444444444	750
1234P	Mieres, Baiña	Asturias	43.275	-5.819166666666667	170
1249I	Oviedo	Asturias	43.35333333333333	-5.874166666666667	336
1249X	Oviedo	Asturias	43.35333333333333	-5.87388888888889	334
1272B	Tineo, Soutu	Asturias	43.290277777777774	-6.386666666666667	280
1276F	Pola De Somiedo	Asturias	43.1	-6.256944444444445	670
1279X	Salas, Camuño	Asturias	43.425	-6.230833333333334	240
1283U	Cabo Busto	Asturias	43.56916666666667	-6.47	60
1297E	Cervantes	Lugo	42.76861111111111	-7.0175	1020
1302F	Degaña	Asturias	42.95527777777778	-6.4725	1310
1309C	Ibias, San Antolin	Asturias	43.027499999999996	-6.885	780
1327A	Villayón, Oneta	Asturias	43.46555555555556	-6.673333333333334	410
1331A	Castropol	Asturias	43.52472222222222	-7.0313888888888885	40
1341B	Taramundi, Ouria	Asturias	43.41555555555556	-7.061111111111111	340
1342X	Ribadeo	Lugo	43.54055555555556	-7.083055555555555	43
1344X	Mondoñedo	Lugo	43.43138888888889	-7.361666666666666	125
1347T	Burela	Lugo	43.651111111111106	-7.357222222222222	80
1351	Estaca De Bares	A Coruña	43.78611111111111	-7.6850000000000005	90
1354C	Ferrol	A Coruña	43.47638888888889	-8.262222222222222	4
1363X	As Pontes	A Coruña	43.44583333333333	-7.8613888888888885	343
1387	A Coruña	A Coruña	43.365833333333335	-8.421388888888888	57
1387D	A Coruña Bens	A Coruña	43.36333333333334	-8.441944444444445	132
1387E	A Coruña Aeropuerto	A Coruña	43.30694444444444	-8.371944444444445	98
1390X	Carballo, Depuradora	A Coruña	43.203611111111115	-8.71111111111111	98
1393	Cabo Vilán	A Coruña	43.160555555555554	-9.210833333333333	50
1399	Vimianzo	A Coruña	43.0575	-9.046944444444444	287
1400	Fisterra	A Coruña	42.92472222222222	-9.29138888888889	230
1406X	Mazaricos	A Coruña	42.93527777777778	-8.993611111111111	340
1410X	Sobrado	A Coruña	43.03777777777778	-8.022222222222224	500
1428	Santiago De Compostela Aeropuerto	A Coruña	42.88805555555555	-8.410555555555556	370
1435C	Noia	A Coruña	42.80027777777777	-8.876111111111111	128
1437O	Monte Iroite	A Coruña	42.720555555555556	-8.923333333333332	685
1442U	Boiro	A Coruña	42.64388888888889	-8.892222222222221	10
1446X	Monterroso	Lugo	42.80972222222222	-7.7683333333333335	680
1455I	Rodeiro-Vilamaior	Pontevedra	42.711111111111116	-7.953888888888889	645
1465U	Lalin-Cristimil	Pontevedra	42.66555555555556	-8.1925	463
1466A	Silleda	Pontevedra	42.700833333333335	-8.257777777777777	435
1468X	A Estrada	Pontevedra	42.69361111111111	-8.501944444444444	269
1473A	Padrón	A Coruña	42.73833333333334	-8.627222222222223	100
1475X	Santiago De Compostela	A Coruña	42.876111111111115	-8.555833333333334	240
1476R	Rois, Casas Do Porto	A Coruña	42.749722222222225	-8.714722222222221	210
1477U	Vilagarcia De Arousa	Pontevedra	42.58222222222223	-8.769722222222223	36
1477V	Vilagarcía De Arousa	Pontevedra	42.584722222222226	-8.774722222222223	32
1484	Pontevedra, Instituto	Pontevedra	42.43055555555555	-8.647222222222222	19
1484C	Pontevedra	Pontevedra	42.43833333333333	-8.615833333333333	113
1486E	Escuela Naval De Marín	Pontevedra	42.39611111111111	-8.706944444444444	3
1489A	A Lama	Pontevedra	42.40694444444444	-8.45111111111111	395
1495	Vigo Aeropuerto	Pontevedra	42.23861111111111	-8.623888888888889	255
1496X	Vigo 	Pontevedra	42.230555555555554	-8.724166666666667	120
1505	Lugo Aeropuerto	Lugo	43.111111111111114	-7.4575000000000005	442
1518A	Lugo	Lugo	42.998333333333335	-7.5525	442
1521I	O Páramo	Lugo	42.84527777777778	-7.499444444444444	403
1521X	Becerreá	Lugo	42.86388888888889	-7.185277777777778	1080
1541B	Villablino	Leon	42.928888888888885	-6.333888888888889	958
1542	Puerto De Leitariegos	Asturias	42.994166666666665	-6.4141666666666675	1530
1549	Ponferrada	Leon	42.56388888888888	-6.6	532
1561I	Vega De Espinareda  	Leon	42.76611111111111	-6.673611111111112	770
1583X	O Barco De Valdeorras	Ourense	42.41555555555556	-6.993055555555555	315
1631E	A Pobra De Trives	Ourense	42.339444444444446	-7.2825	840
1639X	Chandrexa De Queixa	Ourense	42.26027777777778	-7.383611111111112	990
1658	Folgoso Do Courel	Lugo	42.58861111111111	-7.191666666666667	612
1679A	Monforte De Lemos	Lugo	42.531666666666666	-7.510833333333333	291
1690A	Ourense	Ourense	42.32527777777778	-7.859722222222222	146
1690B	Ourense,Instituto	Ourense	42.33222222222223	-7.864444444444444	148
1696O	Beariz	Ourense	42.46805555555556	-8.278055555555556	610
1700X	O Carballiño	Ourense	42.421388888888885	-8.092500000000001	400
1701X	Ribadavia	Ourense	42.3	-8.129166666666666	112
1706A	Allariz	Ourense	42.18277777777777	-7.796111111111111	492
1719	A Cañiza	Pontevedra	42.21805555555556	-8.281111111111112	560
1723X	Ponteareas, Canedo   	Pontevedra	42.18222222222222	-8.492777777777777	90
1730E	O Rosal	Pontevedra	41.943888888888885	-8.8475	55
1735X	Xinzo De Limia	Ourense	42.07916666666667	-7.733611111111111	616
1738U	Muiños	Ourense	41.93416666666666	-7.988888888888889	730
1740	Santillana Del Mar, Altamira	Cantabria	43.37722222222222	-4.124444444444444	150
2005Y	Vinuesa, Quintanarejo	Soria	41.967777777777776	-2.7827777777777776	1197
2017Y	La Póveda De Soria, Barriomartín	Soria	41.99583333333334	-2.4941666666666666	1260
2030	Soria	Soria	41.775	-2.4830555555555556	1081
